,result,table,_time,active_energy_Wh,Device_Name,_field,_measurement
,,0,2021-10-17T07:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T07:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T07:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T08:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T08:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T08:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T08:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T09:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T09:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T09:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T09:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T10:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T10:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T10:30:00Z,2692,R611-Z1-ED12,active_energy_Wh,Power_Energy
,,0,2021-10-17T10:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T11:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T11:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T11:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T11:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T12:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T12:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T12:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T12:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T13:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T13:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T13:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T13:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T14:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T14:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T14:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T14:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T15:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T15:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
